name,team,position,age,games_played,games_started,passing_yards,passing_tds,interceptions,rushing_atts,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fumbles,fumbles_lost,two_point_conversions,two_point_conversions_passing,fantasy_points_standard_10,fantasy_points_ppr_10,player_id,year
Christian McCaffrey,SFO,RB,27,16,16,0,0,0,272,1459,14,83,67,564,7,3,2,0,0,3240,3913,McCaCh01,2023
CeeDee Lamb,DAL,WR,24,17,17,0,0,0,14,113,2,181,135,1749,12,3,2,1,0,2680,4032,LambCe00,2023
Josh Allen,BUF,QB,27,17,17,4306,29,18,111,524,15,0,0,0,0,7,4,0,3,3930,3926,AlleJo02,2023
Tyreek Hill,MIA,WR,29,16,16,0,0,0,6,15,0,171,119,1799,13,1,1,0,0,2570,3764,HillTy00,2023
Jalen Hurts,PHI,QB,25,17,17,3858,23,15,157,605,15,0,0,0,0,9,5,0,0,3570,3568,HurtJa00,2023
Raheem Mostert,MIA,RB,31,15,15,0,0,0,209,1012,18,32,25,175,3,4,1,0,0,2430,2677,MostRa00,2023
Amon-Ra St. Brown,DET,WR,24,16,16,0,0,0,4,24,0,164,119,1515,10,1,1,0,0,2120,3309,StxxAm00,2023
Dak Prescott,DAL,QB,30,17,17,4516,36,9,55,242,2,0,0,0,0,4,2,0,2,3430,3428,PresDa01,2023
Mike Evans,TAM,WR,30,17,17,0,0,0,0,0,0,136,79,1255,13,0,0,0,0,2040,2825,EvanMi00,2023
Lamar Jackson,BAL,QB,26,16,16,3678,24,7,148,821,5,0,0,0,0,11,6,0,1,3310,3312,JackLa00,2023
Sam LaPorta,DET,TE,22,17,14,0,0,0,1,4,0,120,86,889,10,0,0,2,0,1530,2393,LaPoSa01,2023
Travis Etienne,JAX,RB,24,17,17,0,0,0,267,1008,11,73,58,476,1,0,0,2,0,2240,2824,EtieTr00,2023
Kyren Williams,LAR,RB,23,12,11,0,0,0,228,1144,12,48,32,206,3,3,2,1,0,2230,2550,WillKy02,2023
Puka Nacua,LAR,WR,22,17,17,0,0,0,12,89,0,160,105,1486,6,1,0,0,0,1940,2985,NacuPu00,2023
D.J. Moore,CHI,WR,26,17,17,0,0,0,4,21,1,136,96,1364,8,1,1,0,0,1910,2865,MoorD.00,2023
Derrick Henry,TEN,RB,29,17,17,14,2,0,280,1167,12,36,28,214,0,0,0,0,0,2190,2467,HenrDe00,2023
Joe Mixon,CIN,RB,27,17,17,0,0,0,257,1034,9,64,52,376,3,0,0,1,0,2150,2670,MixoJo00,2023
Jordan Love,GNB,QB,25,17,17,4159,32,11,50,247,4,0,0,0,0,9,3,0,2,3190,3191,LoveJo03,2023
Breece Hall,NYJ,RB,22,17,16,0,0,0,223,994,5,95,76,591,4,2,0,1,0,2150,2905,HallBr03,2023
A.J. Brown,PHI,WR,26,17,17,0,0,0,0,0,0,158,106,1456,7,2,2,0,0,1840,2896,BrowAJ00,2023
Deebo Samuel,SFO,WR,27,15,15,0,0,0,37,225,5,89,60,892,7,1,0,0,0,1840,2437,SamuDe00,2023
George Kittle,SFO,TE,30,16,16,0,0,0,1,2,0,90,65,1020,6,0,0,0,0,1380,2032,KittGe00,2023
Nico Collins,HOU,WR,24,15,10,0,0,0,1,7,0,109,80,1297,8,1,0,1,0,1800,2604,CollNi00,2023
Rachaad White,TAM,RB,24,17,17,0,0,0,272,990,6,70,64,549,3,3,2,0,0,2040,2679,WhitRa01,2023
Brandon Aiyuk,SFO,WR,25,16,16,0,0,0,0,0,0,105,75,1342,7,1,1,0,0,1740,2492,AiyuBr00,2023
Travis Kelce,KAN,TE,34,15,15,0,0,0,0,0,0,121,93,984,5,1,1,0,0,1260,2194,KelcTr00,2023
Keenan Allen,LAC,WR,31,13,13,49,1,0,2,6,0,150,108,1243,7,2,1,0,0,1710,2789,AlleKe00,2023
T.J. Hockenson,MIN,TE,26,15,11,0,0,0,0,0,0,127,95,960,5,1,1,0,0,1240,2190,HockTJ00,2023
Stefon Diggs,BUF,WR,30,17,17,0,0,0,1,5,0,160,107,1183,8,2,1,1,0,1670,2738,DiggSt00,2023
David Njoku,CLE,TE,27,16,16,0,0,0,0,0,0,123,81,882,6,2,2,0,0,1200,2012,NjokDa00,2023
Brock Purdy,SFO,QB,24,16,16,4280,31,11,39,144,2,0,0,0,0,6,2,0,0,2960,2956,PurdBr00,2023
David Montgomery,DET,RB,26,14,14,0,0,0,219,1015,13,24,16,117,0,2,1,1,0,1910,2072,MontDa01,2023
Ja'Marr Chase,CIN,WR,23,16,16,-7,0,0,3,-6,0,145,100,1216,7,1,0,0,0,1630,2627,ChasJa00,2023
Davante Adams,LVR,WR,31,17,17,0,0,0,0,0,0,175,103,1144,8,0,0,0,0,1620,2654,AdamDa01,2023
Jahmyr Gibbs,DET,RB,21,15,3,0,0,0,182,945,10,71,52,316,1,2,1,0,0,1900,2421,GibbJa01,2023
Evan Engram,JAX,TE,29,17,15,0,0,0,0,0,0,143,114,963,4,3,2,0,0,1160,2303,EngrEv00,2023
James Cook,BUF,RB,24,17,13,0,0,0,237,1122,2,54,44,445,4,4,2,0,0,1890,2327,CookJa01,2023
Bijan Robinson,ATL,RB,21,17,16,0,0,0,214,976,4,86,58,487,4,4,3,0,0,1880,2463,RobiBi01,2023
D.K. Metcalf,SEA,WR,26,16,16,0,0,0,0,0,0,119,66,1114,8,0,0,0,0,1590,2254,MetcDK00,2023
Jared Goff,DET,QB,29,17,17,4575,30,12,32,21,2,0,0,0,0,6,4,0,2,2890,2891,GoffJa00,2023
Taysom Hill,NOR,TE,33,16,7,83,1,0,81,401,4,40,33,291,2,1,1,0,0,1110,1435,HillTa00,2023
Amari Cooper,CLE,WR,29,15,15,0,0,0,0,0,0,128,72,1250,5,2,1,1,0,1550,2270,CoopAm00,2023
Saquon Barkley,NYG,RB,26,14,14,0,0,0,247,962,6,60,41,280,4,2,2,1,0,1820,2232,BarkSa00,2023
Calvin Ridley,JAX,WR,29,17,17,0,0,0,9,23,0,136,76,1016,8,1,0,1,0,1540,2299,RidlCa00,2023
Jayden Reed,GNB,WR,23,16,13,0,0,0,11,119,2,94,64,793,8,2,0,1,0,1530,2172,ReedJa03,2023
Cole Kmet,CHI,TE,24,17,17,0,0,0,3,2,0,90,73,719,6,1,0,0,0,1080,1811,KmetCo00,2023
Jordan Addison,MIN,WR,21,17,14,0,0,0,1,2,0,108,70,911,10,0,0,0,0,1510,2213,AddiJo00,2023
Jake Ferguson,DAL,TE,24,17,16,0,0,0,0,0,0,102,71,761,5,0,0,0,0,1060,1771,FergJa00,2023
DeAndre Hopkins,TEN,WR,31,17,16,0,0,0,2,9,0,137,75,1057,7,0,0,0,0,1490,2236,HopkDe00,2023
Patrick Mahomes,KAN,QB,28,16,16,4183,27,14,75,389,0,0,0,0,0,5,3,0,0,2800,2802,MahoPa00,2023
Jakobi Meyers,LVR,WR,27,16,16,12,1,0,4,24,2,106,71,807,8,0,0,0,0,1480,2186,MeyeJa01,2023
James Conner,ARI,RB,28,13,13,0,0,0,208,1040,7,33,27,165,2,0,0,0,0,1750,2015,ConnJa00,2023
Gus Edwards,BAL,RB,28,17,9,0,0,0,198,810,13,13,12,180,0,3,2,1,0,1750,1870,EdwaGu00,2023
DeVonta Smith,PHI,WR,25,16,16,0,0,0,0,0,0,112,81,1066,7,1,1,0,0,1470,2276,SmitDe07,2023
George Pickens,PIT,WR,22,17,16,0,0,0,3,18,0,106,63,1140,5,3,0,0,0,1460,2088,PickGe00,2023
Trey McBride,ARI,TE,24,17,12,0,0,0,0,0,0,106,81,825,3,1,0,0,0,1010,1815,McBrTr01,2023
Chris Olave,NOR,WR,23,16,11,0,0,0,0,0,0,138,87,1123,5,0,0,1,0,1440,2313,OlavCh00,2023
C.J. Stroud,HOU,QB,22,15,15,4108,23,5,39,167,3,1,1,0,0,8,4,1,0,2750,2760,StroCJ00,2023
Kenneth Walker III,SEA,RB,23,15,15,0,0,0,219,905,8,37,29,259,1,1,0,0,0,1700,1994,WalkKe00,2023
Baker Mayfield,TAM,QB,28,17,17,4044,28,10,62,163,1,0,0,0,0,8,3,0,2,2740,2741,MayfBa00,2023
Isiah Pacheco,KAN,RB,24,14,13,0,0,0,205,935,7,49,44,244,2,1,1,0,0,1700,2139,PachIs00,2023
Michael Pittman Jr.,IND,WR,26,16,15,0,0,0,0,0,0,156,109,1152,4,2,1,2,0,1410,2502,PittMi01,2023
Tony Pollard,DAL,RB,26,17,17,0,0,0,252,1005,6,67,55,311,0,3,1,1,0,1680,2226,PollTo00,2023
Jerome Ford,CLE,RB,24,17,12,0,0,0,204,813,4,63,44,319,5,1,1,1,0,1670,2112,FordJe00,2023
Najee Harris,PIT,RB,25,17,17,0,0,0,255,1035,8,38,29,170,0,2,1,0,0,1670,1955,HarrNa00,2023
Tua Tagovailoa,MIA,QB,25,17,17,4624,29,14,35,74,0,0,0,0,0,13,5,0,0,2700,2704,TagoTu00,2023
Dalton Schultz,HOU,TE,27,15,8,0,0,0,0,0,0,88,59,635,5,1,1,0,0,920,1505,SchuDa00,2023
Mark Andrews,BAL,TE,28,10,9,0,0,0,1,0,0,61,45,544,6,1,0,0,0,900,1354,AndrMa00,2023
De'Von Achane,MIA,RB,22,11,4,0,0,0,103,800,8,37,27,197,3,1,1,0,0,1640,1907,AchaDe00,2023
Justin Jefferson,MIN,WR,24,10,9,0,0,0,1,-12,0,100,68,1074,5,1,1,0,0,1340,2022,JeffJu00,2023
Brian Robinson Jr.,WAS,RB,24,15,15,0,0,0,178,733,5,43,36,368,4,4,2,1,0,1620,1981,RobiBr01,2023
Rashee Rice,KAN,WR,23,16,8,0,0,0,1,-3,0,102,79,938,7,2,1,0,0,1340,2125,RiceRa01,2023
D'Andre Swift,PHI,RB,24,16,15,0,0,0,229,1049,5,49,39,214,1,3,1,0,0,1600,1993,SwifDA00,2023
Courtland Sutton,DEN,WR,28,16,14,0,0,0,0,0,0,90,59,772,10,3,3,0,0,1310,1902,SuttCo00,2023
Terry McLaurin,WAS,WR,28,17,17,0,0,0,0,0,0,132,79,1002,4,0,0,0,0,1300,2092,McLaTe00,2023
Trevor Lawrence,JAX,QB,24,16,16,4016,21,14,70,339,4,0,0,0,0,12,7,0,1,2630,2625,LawrTr00,2023
Sam Howell,WAS,QB,23,17,17,3946,21,21,48,263,5,1,1,4,0,4,2,1,1,2570,2575,HoweSa00,2023
Russell Wilson,DEN,QB,35,15,15,3070,26,8,80,341,3,0,0,0,0,10,5,0,2,2570,2569,WilsRu00,2023
Matthew Stafford,LAR,QB,35,15,15,3965,24,11,21,65,0,0,0,0,0,0,0,1,1,2430,2431,StafMa00,2023
Derek Carr,NOR,QB,32,17,17,3878,25,8,32,40,0,0,0,0,0,7,3,0,2,2410,2411,CarrDe02,2023
Justin Herbert,LAC,QB,25,13,13,3134,20,7,52,228,3,1,1,10,0,4,1,0,1,2330,2342,HerbJu00,2023
Justin Fields,CHI,QB,24,13,13,2562,16,9,124,657,4,0,0,0,0,10,4,0,0,2300,2302,FielJu00,2023
Geno Smith,SEA,QB,33,15,15,3624,20,9,37,155,1,1,1,-2,0,5,3,0,2,2260,2273,SmitGe00,2023
Joshua Dobbs,2TM,QB,28,13,12,2464,13,10,77,421,6,0,0,0,0,14,7,2,1,2010,2007,DobbJo00,2023
Gardner Minshew II,IND,QB,27,17,13,3305,15,9,34,100,3,0,0,0,0,8,5,0,2,1960,1962,MinsGa00,2023
Desmond Ridder,ATL,QB,24,15,13,2836,12,12,53,193,5,1,1,-6,0,12,7,0,2,1760,1771,RiddDe00,2023
Alvin Kamara,NOR,RB,28,13,12,0,0,0,180,694,5,86,75,466,1,0,0,3,0,1580,2330,KamaAl00,2023
Bryce Young,CAR,QB,22,16,16,2877,11,10,39,253,0,0,0,0,0,11,6,1,1,1560,1564,YounBr01,2023
Kirk Cousins,MIN,QB,35,8,8,2331,18,5,14,25,0,0,0,0,0,7,4,0,0,1500,1497,CousKi00,2023
Joe Burrow,CIN,QB,27,10,10,2309,15,6,31,88,0,0,0,0,0,2,1,0,0,1470,1472,BurrJo01,2023
Kyler Murray,ARI,QB,26,8,8,1799,10,5,44,244,3,0,0,0,0,7,0,0,1,1460,1464,MurrKy00,2023
Chuba Hubbard,CAR,RB,24,17,12,0,0,0,238,902,5,44,39,233,0,1,0,0,0,1440,1825,HubbCh01,2023
Josh Jacobs,LVR,RB,25,13,13,0,0,0,233,805,6,54,37,296,0,3,1,0,0,1440,1811,JacoJo01,2023
Jake Browning,CIN,QB,27,9,7,1936,12,7,27,127,3,1,1,-7,0,3,0,0,1,1430,1444,BrowJa08,2023
Zack Moss,IND,RB,26,14,8,0,0,0,183,794,5,37,27,192,2,0,0,1,0,1430,1696,MossZa00,2023
Devin Singletary,HOU,RB,26,17,10,6,1,0,216,898,4,38,30,193,0,1,0,0,0,1370,1673,SingDe00,2023
Jonathan Taylor,IND,RB,24,10,7,0,0,0,169,741,7,23,19,153,1,1,0,0,0,1370,1564,TaylJo02,2023
Jaylen Warren,PIT,RB,25,17,0,0,0,0,149,784,4,74,61,370,0,4,2,0,0,1350,1964,WarrJa01,2023
Austin Ekeler,LAC,RB,28,14,14,0,0,0,179,628,5,74,51,436,1,5,4,0,0,1340,1854,EkelAu00,2023
Javonte Williams,DEN,RB,23,16,13,0,0,0,217,774,3,58,47,228,2,1,1,2,0,1320,1792,WillJa10,2023
Zay Flowers,BAL,WR,23,16,16,0,0,0,8,56,1,108,77,858,5,0,0,1,0,1290,2064,FlowZa00,2023
Adam Thielen,CAR,WR,33,17,17,0,0,0,1,6,0,137,103,1014,4,2,0,1,0,1280,2310,ThieAd00,2023
Jaylen Waddle,MIA,WR,25,14,14,0,0,0,3,12,0,104,72,1014,4,0,0,0,0,1270,1986,WaddJa00,2023
Chris Godwin,TAM,WR,27,17,17,0,0,0,4,38,1,130,83,1024,2,0,0,1,0,1260,2092,GodwCh00,2023
Aidan O'Connell,LVR,QB,25,11,10,2218,12,7,17,11,1,0,0,0,0,4,2,0,0,1260,1258,OConAi00,2023
Ezekiel Elliott,NWE,RB,28,17,5,0,0,0,184,642,3,65,51,313,2,2,1,0,0,1240,1745,ElliEz00,2023
Tyler Lockett,SEA,WR,31,17,17,0,0,0,0,0,0,122,79,894,5,0,0,2,0,1230,2024,LockTy00,2023
Tyler Allgeier,ATL,RB,23,17,3,0,0,0,186,683,4,23,18,193,1,0,0,1,0,1200,1376,AllgTy00,2023
Zach Wilson,NYJ,QB,24,12,11,2271,8,7,36,211,0,0,0,0,0,11,7,1,1,1200,1199,WilsZa00,2023
Brandin Cooks,DAL,WR,30,16,15,0,0,0,5,35,0,81,54,657,8,1,0,1,0,1190,1732,CookBr00,2023
Tank Dell,HOU,WR,24,11,8,0,0,0,11,51,0,75,47,709,7,1,0,0,0,1180,1650,DellNa00,2023
Garrett Wilson,NYJ,WR,23,17,17,0,0,0,4,0,0,168,95,1042,3,2,2,0,0,1180,2132,WilsGa00,2023
Gabriel Davis,BUF,WR,24,17,17,0,0,0,1,-2,0,81,45,746,7,1,1,1,0,1160,1614,DaviGa01,2023
Romeo Doubs,GNB,WR,23,17,16,0,0,0,0,0,0,96,59,674,8,1,0,0,0,1150,1744,DoubRo00,2023
Kenny Pickett,PIT,QB,25,12,12,2070,6,4,42,54,1,0,0,0,0,2,0,0,0,1100,1102,PickKe00,2023
Rashid Shaheed,NOR,WR,25,15,8,0,0,0,7,37,0,75,46,719,5,1,1,0,0,1100,1556,ShahRa00,2023
Rhamondre Stevenson,NWE,RB,25,12,12,0,0,0,156,619,4,51,38,238,0,1,1,0,0,1080,1457,StevRh00,2023
Mac Jones,NWE,QB,25,11,11,2120,10,12,26,96,0,0,0,0,0,3,2,0,0,1060,1064,JoneMa05,2023
Aaron Jones,GNB,RB,29,11,11,0,0,0,142,656,2,43,30,233,1,2,1,0,0,1050,1349,JoneAa00,2023
Cooper Kupp,LAR,WR,30,12,12,0,0,0,1,-3,0,95,59,737,5,0,0,1,0,1050,1644,KuppCo00,2023
Drake London,ATL,WR,22,16,16,22,0,0,0,0,0,110,69,905,2,0,0,1,0,1050,1744,LondDr00,2023
Kareem Hunt,CLE,RB,28,15,2,0,0,0,135,411,9,21,15,84,0,0,0,0,0,1040,1185,HuntKa00,2023
Alexander Mattison,MIN,RB,25,16,13,0,0,0,180,700,0,44,30,192,3,3,2,0,0,1030,1332,MattAl01,2023
Diontae Johnson,PIT,WR,27,13,11,0,0,0,0,0,0,87,51,717,5,1,0,0,0,1020,1527,JohnDi01,2023
Will Levis,TEN,QB,24,9,9,1808,8,4,25,57,1,0,0,0,0,7,4,0,1,1020,1020,LeviWi00,2023
Tyjae Spears,TEN,RB,22,17,1,0,0,0,100,453,2,70,52,385,1,1,0,0,0,1020,1538,SpeaTy00,2023
Joe Flacco,CLE,QB,38,5,5,1616,13,8,9,2,0,0,0,0,0,4,1,0,1,1010,1008,FlacJo00,2023
Darius Slayton,NYG,WR,26,17,13,0,0,0,0,0,0,79,50,770,4,0,0,0,0,1010,1510,SlayDa01,2023
AJ Dillon,GNB,RB,25,15,6,0,0,0,178,613,2,28,22,223,0,0,0,0,0,960,1176,DillAJ00,2023
Tee Higgins,CIN,WR,24,12,11,0,0,0,0,0,0,76,42,656,5,0,0,0,0,960,1376,HiggTe00,2023
Curtis Samuel,WAS,WR,27,16,13,0,0,0,7,39,1,91,62,613,4,0,0,0,0,950,1572,SamuCu00,2023
Tommy DeVito,NYG,QB,25,9,6,1101,8,3,36,195,1,0,0,0,0,2,1,0,0,940,935,DeViTo00,2023
Khalil Herbert,CHI,RB,25,12,9,0,0,0,132,611,2,31,20,134,1,1,1,1,0,930,1125,HerbKh00,2023
Christian Kirk,JAX,WR,27,12,12,-1,0,0,1,6,0,85,57,787,3,2,2,0,0,930,1503,KirkCh01,2023
Josh Downs,IND,WR,22,17,9,0,0,0,0,0,0,98,68,771,2,0,0,0,0,890,1571,DownJo00,2023
Josh Reynolds,DET,WR,28,17,13,0,0,0,0,0,0,64,40,608,5,1,1,0,0,890,1288,ReynJo00,2023
Jerry Jeudy,DEN,WR,24,16,11,0,0,0,0,0,0,87,54,758,2,1,0,0,0,880,1418,JeudJe00,2023
Jaxon Smith-Njigba,SEA,WR,21,17,3,0,0,0,0,0,0,93,63,628,4,0,0,0,0,870,1498,SmitJa06,2023
Tyrod Taylor,NYG,QB,34,11,5,1341,5,3,38,197,0,0,0,0,0,4,0,0,0,870,873,TaylTy00,2023
Deshaun Watson,CLE,QB,28,6,6,1115,7,4,26,142,1,0,0,0,0,5,2,3,0,870,868,WatsDe00,2023
Marquise Brown,ARI,WR,26,14,14,0,0,0,2,23,0,101,51,574,4,0,0,0,0,840,1347,BrowMa04,2023
Kyle Pitts,ATL,TE,23,17,15,0,0,0,1,-4,0,90,53,667,3,0,0,0,0,840,1373,PittKy00,2023
DJ Chark,CAR,WR,27,15,11,0,0,0,0,0,0,66,35,525,5,2,1,0,0,810,1155,CharDJ00,2023
Justice Hill,BAL,RB,26,16,5,0,0,0,84,387,3,39,28,206,1,1,1,0,0,810,1093,HillJu00,2023
